sentence,label_human,label_embed2discover,corpus_filename,start_pos,end_pos,file
Das Gleiche gilt für die nationalen Fernsehübertragungsrechte.,0,0,3/02_438.txt,1628,1690,3/02_438.txt
"Danach haben Taxiführer grundsätzlich jeden Fahrgast zu befördern, ausser wenn die Fahrt aus einem offensichtlich beim Fahrgast liegenden Grund nicht zumutbar ist.",0,0,16/10_1059.txt,750,913,16/10_1059.txt
"Im Rahmen der Landwirtschaftspolitik 2002 hat der Bund beschlossen, die Streichung beizubehalten und sie auf alle landwirtschaftlichen Gebäude im Talgebiet, einschliesslich der gemeinschaftlichen Bauten, anzuwenden.",0,1,0/00_3498.txt,885,1102,0/00_3498.txt
"Hier kann und soll der Bund ansetzen und mit einer nationalen Konferenz zur Jugendgewalt die verschiedenen Akteure zusammenführen, erfolgreiche Projekte und Massnahmen vorstellen und so die diversen Bemühungen zur Eindämmung der Jugendgewalt aktiv unterstützen und koordinieren.",0,0,10/07_3485.txt,1334,1612,10/07_3485.txt
"Der Bundesrat wird beauftragt, seine Feuerbrandstrategie zu ändern.",0,0,16/10_3597.txt,2173,2240,16/10_3597.txt
Golfplätze können folglich ohne Schaden für die Umwelt aus der UVP-Pflicht entlassen werden.,1,1,7/05_3169.txt,1903,1995,7/05_3169.txt
"Gewisse Vorkommnisse haben gezeigt, dass eine zu grosse Nähe zwischen Bundesanwaltschaft und Bundesrat der Glaubwürdigkeit schaden würde.",0,0,42/19_479.txt,1371,1508,42/19_479.txt
"Ansonsten steht der Ruf aller AOC-Weine unseres Landes auf dem Spiel, die die Terroirs respektieren und die Weinbautradition hochhalten wollen.",1,1,12/08_3200.txt,448,593,12/08_3200.txt
Zonenkonformität und die Einhaltung der Grenzabstände obliegen den gemeindlichen Behörden.,0,1,5/04_3038.txt,741,831,5/04_3038.txt
"Dabei soll insbesondere die Vereinbarkeit mit den aktuellen Energie- und Klimazielen der Schweiz, dem Kulturlandschutz und den Grundsätzen der nachhaltigen Raum- und Siedlungsentwicklung überprüft werden.",1,1,52/22_3326.txt,913,1117,52/22_3326.txt
Im Berggebiet macht die Abnahme der Schneesicherheit insbesondere in tiefen bis mittleren Höhenlagen Anpassungen im touristischen Angebot notwendig.,0,1,16/10_3224.txt,1248,1396,16/10_3224.txt
"1. Sport während des Militärdienstes in Schulen und Kursen a. Ist der Bundesrat nicht der Meinung, dass während des Militärdienstes noch vermehrt Sport betrieben werden sollte?",0,0,64/81_434.txt,116,292,64/81_434.txt
inwiefern er den Jugendurlaub nach Artikel 329e OR fördert;g.,0,0,10/07_3718.txt,915,976,10/07_3718.txt
"Gemäss dem Swiss antibiotic resistance report, sind Antibiotikaresistenzen für eine erhöhte Morbidität und Mortalität verantwortlich und verursachen erhebliche Kosten im Gesundheitswesen.",0,0,49/21_4233.txt,431,620,49/21_4233.txt
"In der Folge werden naturwissenschaftliche Fächer eher gemieden, da diese den Ruf geniessen, einigen Aufwand mit sich zu bringen.",0,0,7/05_3679.txt,650,779,7/05_3679.txt
Gemäss der Legislaturplanung 2007-2011 soll der Bundesrat Verhandlungen mit der EU über ein Rahmenabkommen aufnehmen.,0,0,16/10_3211.txt,0,117,16/10_3211.txt
Bei den Arbeitnehmenden können altersdiskriminierende Bemerkungen das Selbstbewusstsein schwächen und zu mangelndem Engagement im Beruf führen.,0,0,32/16_3153.txt,656,799,32/16_3153.txt
Anscheinend werden heute sogar Orientteppiche für die Schweizer Botschaften in orientalischen Ländern aus der Schweiz importiert!,0,0,16/10_3511.txt,594,723,16/10_3511.txt
Dies geht auch aus den Antworten des Bundesrats auf diverse Vorstösse zur Luftqualität in Innenräumen hervor.,0,0,52/22_3813.txt,1181,1290,52/22_3813.txt
"Sie weist auf die Gefährdung der Menschenrechte, insbesondere des Rechts auf Nahrung, von benachteiligten Bevölkerungsgruppen durch strenge Sortenschutzgesetze, die auf den Standards des Sortenschutzabkommens Upov 91 beruhen, hin.",0,1,29/15_3186.txt,200,430,29/15_3186.txt
"Die Billag hat sich bisher geweigert, ihre Jahreszahlen offenzulegen, und argumentiert, als privatrechtliche Organisation sei sie dazu nicht verpflichtet.",0,0,16/10_3133.txt,489,643,16/10_3133.txt
"Botschaft und Gesetzes-Entwurf vom 25. Februar 1907 , betreffenddas schweizerische Postwesen.",0,0,44/1907_039.txt,37,130,44/1907_039.txt
"Das heisst für die Schweizerinnen und Schweizer, die in diesen Ländern leben und auch das Bürgerrecht dort haben, dass sie kein Recht mehr haben, freiwillig für die Schweiz Militärdienst zu leisten, auch wenn im Land, in dem sie leben, keine Militärdienstpflicht mehr besteht.",0,0,16/10_3464.txt,1175,1451,16/10_3464.txt
"Ein besserer Schutz der biologischen Artenvielfalt sei in der Fraktion unbestritten, sagte Susanne Vincenz-Stauffacher (FDP/SG).",1,1,51/22_025.txt,3585,3713,51/22_025.txt
Sogar die Krankenkassen beziehen sich mit Vorliebe auf das VVG statt auf das KVG.,0,0,16/10_3498.txt,270,351,16/10_3498.txt
"Der Bundesrat wird beauftragt, die gesetzlichen Bestimmungen so anzupassen, dass Pokerspiele, insbesondere die populärste Variante, Texas Hold'em, als Geschicklichkeitsspiele anerkannt werden und damit entsprechende Turniere ausserhalb der Spielcasinos weiterhin legal sind.",0,0,16/10_3506.txt,0,274,16/10_3506.txt
"Fabio Abate (FDP/TI) erinnerte im Namen der Kommission daran, dass das Parlament dem Bundesrat den Auftrag für die Gesetzesänderung erteilt habe.",0,0,29/15_033.txt,8009,8154,29/15_033.txt
"In diesem Zusammenhang ersuche ich den Bundesrat: 1. dafür besorgt zu sein, dass grundsätzlich bei keinem schwei zerischen Staatsbetrieb rückwirkende Tariferhöhungen zu gelassen werden;",0,0,71/92_3335.txt,1508,1693,71/92_3335.txt
"Welche Massnahmen hält der Bundesrat zur Sicherung des Börsenplatzes Schweiz für sinnvoll?3. Ist die Struktur der SWX heute noch genügend, oder müssten die kotierten Unternehmungen und/oder allenfalls der Staat (Bund oder Kantone) Beteiligungsrechte an der SWX erwerben können?",0,0,12/08_3967.txt,963,1240,12/08_3967.txt
"Dank moderner Datenerfassungs- und Informationstechnologien werden viele naturwissenschaftliche Daten mit öffentlichen Mitteln generiert, die nicht nur der Forschung, sondern auch der Zivilbevölkerung zur Verfügung gestellt werden sollten.",0,0,16/10_3602.txt,0,239,16/10_3602.txt
Perreten fand vergangenes Jahr gegen alle Antibiotika und selbst gegen Reserve-Antibiotika resistente Keime in der Milch von Schweizer Kühen.,0,0,37/18_4117.txt,917,1058,37/18_4117.txt
"Das spielte so lange keine Rolle, wie die Kapitaleinkommen selbst keine grosse Bedeutung hatten.",0,0,11/07_496.txt,652,748,11/07_496.txt
"In der Unesco-Biodiversitätsreserve des Nationalparks Yasuni befindet sich das grösste unerschlossene Ölvorkommen von Ecuador, Ishpingo Tambococha Tiputini (ITT), geschätzte 850 Millionen Barrel Erdöl (entspricht etwa 400 Millionen Tonnen",1,1,20/11_3814.txt,0,238,20/11_3814.txt
"Die Kosten für Inbetriebstellung, Hinflug nach Kopenhagen und Rückflug des Bundesratsjets für den Transport von Bundesrat Leuenberger;e.",0,0,16/10_3221.txt,797,933,16/10_3221.txt
"In dieser Situation soll die Schweiz als von Klimaveränderungen besonders betroffenes Alpenland mit schmelzenden Gletscherzungen und auftauendem Permafrost eine Schlüsselrolle einnehmen, denn der internationale Klimaschutz befindet sich inhaltlich in der Krise.",1,1,6/04_3592.txt,1063,1324,6/04_3592.txt
"Der Nutri-Score gilt naturgemäss für jedes Lebensmittel einzeln, und nicht für die gesamte Ernährung.",0,0,48/21_315.txt,2309,2410,48/21_315.txt
Gefährdet die Abdrift der Pflanzenschutzmittel die Biodiversität?,1,1,48/21_3256.txt,634,699,48/21_3256.txt
"Viele Deponien sind ausgeschöpft und neue Vorhaben bringen oft grosse Konflikte mit dem Natur- und Landschaftsschutz, dem Bodenschutz (Fruchtfolgeflächen) und dem Waldschutz mit sich.",1,1,45/20_3090.txt,736,919,45/20_3090.txt
"Die Veröffentlichung der WHO vom Mai 2012, die das Gesundheitsrisiko des Unfalls von Fukushima bewertet, beruht auf der Einschätzung von Strahlenbiologie- und Radioepidemiologie-Fachleuten beziehungsweise den Biological Effects of Ionizing Radiation (BEIR) und sowie dem Expertenbericht von 2006 BEIR VII.",0,0,55/23_3415.txt,360,669,55/23_3415.txt
"Fachleute schätzen, dass bis 2040 60 Prozent des konsumierten Fleisches aus pflanzlichen Ersatzstoffen oder aus Fleisch aus Kulturen bestehen wird.",0,0,55/23_3470.txt,1226,1373,55/23_3470.txt
Der Alpenschutzartikel wird berücksichtigt.,1,0,16/10_3814.txt,1659,1702,16/10_3814.txt
Bestätigt der Bundesrat diese scharfsinnige geopolitische Analyse?,0,0,16/10_1013.txt,427,493,16/10_1013.txt
Firmen und Behörden sollen künftig mit neuen Formen der elektronischen Signatur arbeiten können.,0,0,27/14_015.txt,4468,4564,27/14_015.txt
"Hintergrund des Beschlusses ist die Forderung der USA, die ab dem 26. Oktober 2005 eine visumsfreie Einreise nur noch mit biometrischen Daten erlauben.",0,0,6/04_3442.txt,226,377,6/04_3442.txt
"Ein entsprechendes Lehrprogramm ist mit Vertretern der Volksschule auszuarbeiten, im Lehrplan 21 soll ein Medienführerschein vorgesehen werden.",0,0,16/10_3256.txt,303,448,16/10_3256.txt
Mit einer adäquaten Öffentlichkeitsarbeit soll ein transparentes und offenes Diskussionsklima gefördert und sollen die Bürgerinnen und Bürger einbezogen werden.,0,0,16/10_3688.txt,1177,1337,16/10_3688.txt
Mit einer adäquaten Öffentlichkeitsarbeit soll ein transparentes und offenes Diskussionsklima gefördert und sollen die Bürgerinnen und Bürger einbezogen werden.,0,0,16/10_3688.txt,1177,1337,16/10_3688.txt
Wann wird die Prüfung erfolgt sein?2. Wie viele Bundesmittel fliessen nach wie vor jährlich in die Förderung des Absatzes von tierischen bzw. in jene von pflanzlichen Erzeugnissen der Landwirtschaft (absolute und relative Zahlen)?,0,0,46/20_4666.txt,1140,1370,46/20_4666.txt
"Er soll ausserdem aufzeigen, wie mit Fällen umgegangen wird, in denen die familiäre Bindung nicht biologisch nachgewiesen werden kann (Ehepartner, Adoption usw.), und prüfen, ob die DNA-Tests weiterzuführen sind.",0,0,10/07_3761.txt,2206,2418,10/07_3761.txt
"Gerade weil es sich um ein Geschicklichkeitsspiel handelt, dauern die Spiele lange (meist über eine Stunde sogar bei kleinen Runden), und nur in Ausnahmefällen gewinnt der Spieler oder die Spielerin mit den besten Ausgangskarten.",0,0,16/10_3506.txt,598,827,16/10_3506.txt
auf die Durchführung von Exkursionen in diverse Archive und Bibliothekszentren;c.,0,0,1/01_1112.txt,227,308,1/01_1112.txt
"Nachfragen bei den zuständigen Stellen haben ergeben, dass die Einbürgerung aufgrund der Angaben im Ausländerausweis erfolgt.",0,0,16/10_3273.txt,404,529,16/10_3273.txt
Mit diesen Geschäften ist naturgemäss Geldwäscherei verbunden.,0,0,1/00_447.txt,1167,1229,1/00_447.txt
Führt der Bundesrat regelmässig neue Kostenevaluationen durch?,0,0,16/10_3658.txt,1924,1986,16/10_3658.txt
Bericht und Antrag über die gesetzliche Regelung der Anstellungsverhältnisse der Handels­ reisenden vorzulegen.,0,0,83/No_bill_id_4293.txt,113,224,83/No_bill_id_4293.txt
"Bedroht sind sowohl die Art selbst, da die Anzahl Tiere als Folge des Fangs durch den Menschen schrumpft, als auch ihr Lebensraum, da die Individuen der meisten Arten für das Gleichgewicht des Ökosystems wesentlich sind.",1,1,41/19_3843.txt,565,785,41/19_3843.txt
"Angesichts der Auswirkungen der Finanzkrise auf die Einnahmen der öffentlichen Hand ab 2012 ist bereits abzusehen, dass für die BFI-Periode 2012ff.",0,0,16/10_3537.txt,2153,2300,16/10_3537.txt
"Mit 18,0 Millionen entfällt rund die Hälfte des Nachtragsvolumens auf das Informatikprojekt FISCAL-IT.",0,0,34/17_007.txt,19291,19393,34/17_007.txt
"N Darbellay, Basler, Carobbio, Eggly, Fankhauser, Frey Claude, Frey Walter, Leuenberger Moritz, Nabholz, Portmann, Re vaclier, Scheidegger, Segmüller, Seiler Rolf, Stocker, Ulrich, Wanner, Wiederkehr, Zwingli (19)",0,0,88/No_bill_id_8772.txt,271,484,88/No_bill_id_8772.txt
"Gewiss, auch Muschg und die Mummenschanz waren vertreten, aber sind wir nicht auch ein modernes und sportliches Land mit Spitzentechnologien, das auf kleinster Fläche eine bemerkenswerte Fülle kultureller und touristisch attraktiver Vielfalt vereint?",0,0,78/99_1136.txt,909,1159,78/99_1136.txt
"Wozu werden denn Kriegsverläufe beobachtet, wenn daraus keinerlei Folgerungen für unser eigenes Verteidigungssystem gezogen werden?2.",0,0,52/22_4067.txt,610,743,52/22_4067.txt
"Diskriminierend und auf jeden Fall den Grundsätzen der Mehrsprachigkeit zuwiderlaufend sind insbesondere Stellenausschreibungen, bei denen das verlangte Sprachprofil spezifische Anforderungen einschliesst, die sich nicht aufgrund der Aufgaben der betreffenden Funktion rechtfertigen lassen oder die auf biografischen statt funktionalen Kriterien gründen (z. B. muss die Anforderung von Sprachkompetenzen auf muttersprachlichem Niveau in fast allen Fällen als diskriminierend betrachtet werden).",0,0,26/13_4057.txt,1700,2196,26/13_4057.txt
Das Jagdgesetz legt die jagdbaren Arten in Artikel 5 abschliessend fest.,1,1,27/14_3570.txt,1385,1457,27/14_3570.txt
"Die Produktion von Nahrungsmitteln ist der verfassungsmässige Auftrag der Landwirtschaft, daher scheint auch die Produktion von Fisch auf Landwirtschaftsbetrieben sinnvoll.",1,1,30/15_4176.txt,685,857,30/15_4176.txt
"Im Ständerat stellte Hans Hess (RL, OW) einen Nichteintretensantrag.",0,0,4/03_039.txt,0,68,4/03_039.txt
Des Weiteren hätte ein Abkommen ausgehandelt werden müssen über die Aufteilung der aus der Forschung resultierenden Gewinne.,0,0,16/10_3542.txt,678,802,16/10_3542.txt
Mit den flankierenden Massnahmen zum freien Personenverkehr wurden Kontrollen der Arbeitsbedingungen von entsandten Arbeitnehmerinnen und Arbeitnehmern eingeführt.,0,0,9/06_3488.txt,59,222,9/06_3488.txt
"Wie beurteilt er das Konzept, die Besetzung der Führungspositionen von Fachhochschulen durch eine regelmässig wiederkehrende Wahl durchzuführen?",0,0,16/10_3236.txt,855,999,16/10_3236.txt
3. Laut Integrationsindikatoren des Bundesamtes für Statistik (BFS) steht Haushalten mit Migrationshintergrund im Schnitt weniger Wohnfläche pro Person zur Verfügung als solchen ohne Migrationshintergrund.,0,0,54/23_3258.txt,1302,1507,54/23_3258.txt
"1. Teilt der Bundesrat die Auffassung des Interpellanten, dass die Aufnahme ausländischer Studierender in das schweizerische Hochschulsystem notwendig und von nationalem Interesse ist?2. Wie stellt er sich dazu, dass diese Aufgabe den verschiedenen kantonalen Universitätsträgern in vollkommen unterschiedlichem Ausmass überwälzt wird (je nach Kosten des Angebots und unterschiedlichem Anteil ausländischer Studierender)?3.",0,0,16/10_3046.txt,0,423,16/10_3046.txt
"Bei der Vermittlung der neuen Arbeits­ plätze an die Invaliden müssen die Regionalstellen der Invalidenversicherung jedoch feststellen, -dass die Bundesbetriebe (PTT, SBB, militärische An­ stalten usw.) für die Beschäftigung umgeschulter Invalider wenig Verständnis bekunden.",0,0,76/9787.txt,187,462,76/9787.txt
"Normalerweise sind Mieterinnen und Mieter einer Wohnung durch einen Vertrag gebunden, der auf ein Jahr befristet ist und sich nach Vertragsablauf automatisch erneuert.",0,0,16/10_3079.txt,282,449,16/10_3079.txt
Deshalb hat die zunehmende Anwendung von Antibiotika in der Tiermast das tolerierbare Mass längst überschritten.,0,0,3/02_5035.txt,122,234,3/02_5035.txt
Der Förderung der Biodiversität kann in hohem Masse entsprochen werden.,1,1,27/14_3377.txt,1680,1751,27/14_3377.txt
"Dazu gehört auch die Möglichkeit, die nichtbiometrischen Identitätskarten weiterhin wie bisher bei der Wohngemeinde zu beantragen.",0,0,16/10_308.txt,2447,2577,16/10_308.txt
Die Neugestaltung der Energieetikette unter Federführung des BFE ist angekündigt und soll bis am 1. Januar 2011 umgesetzt werden.,0,0,16/10_1086.txt,996,1125,16/10_1086.txt
diese haben wegen der schwindenden Bedeutung des Pferds im Militär und in der Landwirtschaft an Gewicht zugenommen.,0,0,16/10_3262.txt,1080,1195,16/10_3262.txt
"Diese Versorgungsregionen können, je nach ihrer geografischen Lage, grenzüberschreitend mit den Nachbarländern zusammenarbeiten.",0,0,16/10_3449.txt,327,455,16/10_3449.txt
"Wie kann das Ziel einer besseren Vereinbarkeit von Familie und Beruf erreicht werden, wenn die Strategien von Bund, Kantone und Gemeinden nicht aufeinander abgestimmt sind und dadurch Finanzierungslücken entstehen?",0,0,16/10_3299.txt,1757,1971,16/10_3299.txt
Mit der Ablehnung der No-Billag-Initiative hat das Schweizer Stimmvolk einen Angriff auf die Schweizer Medienvielfalt und den unabhängigen Journalismus abgewehrt.,0,0,36/18_3100.txt,690,852,36/18_3100.txt
"Als Grundlage können hierzu die zahlreichen Rankings dienen, die jährlich publiziert werden.",0,0,16/10_3525.txt,1891,1983,16/10_3525.txt
"Als Grundlage können hierzu die zahlreichen Rankings dienen, die jährlich publiziert werden.",0,0,16/10_3525.txt,1891,1983,16/10_3525.txt
Der Bundesrat unterstützt die Tierschutzorganisationen bei Sterilisierungskampagnen für verwilderte Hauskatzen.,1,1,41/19_3959.txt,220,331,41/19_3959.txt
"Aufgrund der globalen Bedeutung der Senken wird in den internationalen Verhandlungen darüber diskutiert, dass in Zukunft über die Quellen und Senken aus der Bodenbewirtschaftung obligatorisch Bericht erstattet werden soll.",0,1,16/10_3802.txt,397,619,16/10_3802.txt
"Damit der Zugang zu Informationen überall auf der Welt verstärkt werden kann, beabsichtigt diese, ein neues rechtlich bindendes Instrument einzuführen, das das Völkerrecht bekräftigt, ergänzt und präzisiert.",0,0,16/10_3040.txt,2167,2374,16/10_3040.txt
Teilt der Bundesrat meine Meinung in dieser Sache?,0,0,16/10_3032.txt,1594,1644,16/10_3032.txt
BinfV gelten die Informatikvorgaben dieser Verordnung nicht für die Informatik der Waffensysteme und für die Führungs- und Einsatzsysteme der Armee.,0,0,16/10_3641.txt,255,403,16/10_3641.txt
Dies hatte ein Besuch einer Delegation des Global Forum vom Mai deutlich gemacht.,0,0,36/18_082.txt,22274,22357,36/18_082.txt
"3. Sind zusätzliche Massnahmen geplant, um die Rahmenbedingungen für die Wasserkraft zu verbessern, damit das Ziel von zusätzlich 2000 Gigawattstunden bis 2030 erreicht wird?",0,0,16/10_3220.txt,1141,1315,16/10_3220.txt
"Ich bitte demzufolge den Vorsteher des VBS um die Beantwortung der folgenden Fragen:1. Wie hoch sind die Vollkosten für die Investitionen des VBS und der drei Bewerber in diesem Evaluationsverfahren bis heute?2. Wie hoch sind die Kosten, die die Schweizer Industrie im Rahmen dieses Evaluationsverfahrens übernommen hat?3.",0,0,16/10_3725.txt,826,1148,16/10_3725.txt
"Ich frage den Bundesrat an, ob und welche Frühwarnsysteme zur Früherkennung von Krisenherden bei uns bestehen bzw. in welcher Form die Schweiz an entsprechenden internationalen Systemen beteiligt ist.",0,0,78/99_3325.txt,290,490,78/99_3325.txt
Konzessionen sind per definitionem grundsätzlich keine Beschaffungen im Sinne der Submissionsgesetzgebung des Bundes und der Kantone.,0,0,16/10_3469.txt,1035,1168,16/10_3469.txt
20 während mindestens Teilen des FDT eine der folgenden Bereitschaftsauflagen nicht erfüllten:a. Sicherstellung des nominellen Bestands und Kaderung von Formation und Verband;,0,0,46/20_4056.txt,1794,1969,46/20_4056.txt
Die Entnahme von Fischen aus dem Meer ist arten- und tierschutzrelevant.,1,1,37/18_4242.txt,997,1069,37/18_4242.txt
"Dieses Obligatorium führt zu einer katastrophalen Situation für einen Teil der Schweizer Landwirtinnen und Landwirte, beträchtlichen Schäden an der Natur und der Umwelt und organisatorischen Probleme für die Betriebe.",1,1,49/21_3984.txt,334,551,49/21_3984.txt
"Welche Möglichkeiten hat die Schweiz, sich für den Schutz der Arktis (High Sea) einzusetzen?2.",1,1,27/14_3165.txt,862,956,27/14_3165.txt
"Wie ist die Zusammenarbeit mit den Forschungsstellen der ETH, mit den Kantonen, insbesondere den verschiedenen Abteilungen der Hochschulen und mit den dezentralen For schungslaboratorien?",0,0,87/No_bill_id_8201.txt,998,1185,87/No_bill_id_8201.txt
"Wie Herr Bundeskanzler Thurnherr in Beantwortung meiner Frage 19.5206 angegeben hat, gibt es diverse Strategien und Planungen in der Bundesverwaltung.",0,0,40/19_1022.txt,0,150,40/19_1022.txt
Unsere Demokratie darf nicht mit Füssen getreten werden und die Politik noch mehr an Glaubwürdigkeit verlieren.,0,0,16/10_3664.txt,1228,1339,16/10_3664.txt
Dies ist grundsätzlich stossend und im konkreten Fall sogar kontraproduktiv.,0,0,16/10_3506.txt,1055,1131,16/10_3506.txt
"2. Um die Rechtssicherheit zu gewährleisten, muss sich die Änderung des Geschlechts so weit wie möglich an den biologischen und medizinischen Fakten und Realitäten orientieren.",0,0,37/18_3696.txt,1814,1990,37/18_3696.txt
In dichtbewohnten Gebieten stehen immense Sachwerte auf dem Spiel.,0,0,16/10_1055.txt,195,261,16/10_1055.txt
Anschliessend stand eine Besichtigung des Arafat-Mausoleums auf dem Programm.,0,0,16/10_3428.txt,520,597,16/10_3428.txt
"Die Nutzung eines Teils des Ackerlands für Tierfutter statt für die menschliche Ernährung senkt den Selbstversorgungsgrad, da die Produktion einer tierischen Kalorie zwischen 3 und 7 pflanzliche Kalorien benötigt.",0,0,50/21_4656.txt,545,758,50/21_4656.txt
"Nun schreiben aber gleichzeitig die Verordnung über elektronische Daten und Informationen (Eidi-V) und die Mehrwertsteuerverordnung (MWSTV) fest, dass nur die digitale Signatur die Authentizität und Integrität elektronischer Daten gewährleistet.",0,0,30/15_4209.txt,483,728,30/15_4209.txt
"Denn diese setzt vermehrt auf gemischte Kulturen und Anbaumethoden, die mehr Handarbeit erfordern als die herkömmliche Landwirtschaft.3.",0,0,35/17_3932.txt,1082,1218,35/17_3932.txt
"Botschaft, Beschlusses- und Gesetzesentwurf vom 26. Juni 1996 über die Volksinitiative zum Schutz des Menschen vor Manipulationen in der Fortpflanzungstechnologie (Initiative für menschenwürdige Fortpflanzung FMF) und zu einem Bundesgesetz über die medizinisch unterstützte Fortpflanzung (Fortpflanzungsmedizingesetz FMedG)",0,0,74/96_058.txt,10483,10808,74/96_058.txt
"Immer mehr Jugendliche werden straffällig, darum muss nun gehandelt werden, und das Jugendstrafrecht muss verschärft werden.",0,0,16/10_3062.txt,0,124,16/10_3062.txt
"Es dürfen nicht in erster Linie die Interessen eines bestimmten Wirtschaftszweigs geschützt werden, ohne dass die sozialen Folgen für die betroffenen Personen, für deren Familien und im Endeffekt auch für die ganze Gesellschaft - wenn die Betroffenen nämlich zu Sozialhilfeempfängerinnen bzw. -empfängern werden - Berücksichtigung finden.",0,0,9/06_417.txt,1639,1977,9/06_417.txt
"Sie machen auch deutlich, wie bestimmte Strassenbauprojekte durch Behörden, die zu diesen Projekten Stellung nehmen sollten, verzögert werden.",0,0,16/10_3358.txt,1655,1797,16/10_3358.txt
In der nächsten Zeit stehen diverse ökologisch bedingte Investitionen an.,1,0,74/95_428.txt,1331,1404,74/95_428.txt
